country,alpha_2_code,alpha_3_code,Indicator,Year,Value_in_percentage%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2000,43.86%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2001,43.84%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2002,42.26%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2003,40.68%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2004,39.09%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2005,37.49%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2006,35.89%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2007,34.29%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2008,32.69%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2009,31.08%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2010,29.48%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2011,27.88%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2012,26.28%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2013,24.68%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2014,23.08%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2015,21.47%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2016,19.87%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2017,18.26%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2018,16.66%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2019,15.05%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2020,13.43%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2021,11.70%
Afghanistan,AF,AFG,Proportion of population using unimproved drinking water sources,2022,10.48%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2000,2.54%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2001,2.57%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2002,2.59%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2003,2.61%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2004,2.63%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2005,2.66%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2006,2.68%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2007,2.71%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2008,2.74%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2009,2.78%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2010,2.81%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2011,2.85%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2012,2.89%
